SMILES,gap,mol_weight,num_rotatable_bonds,bertz_ct
CC[N+](C)(C)CCCC(C)C,7.211,158.3090000000002,10,90.2114326716684
CC[N+](C)(CC)CCC(C)C,7.607,158.3090000000002,10,88.2114326716684
CC[N+](CC)(CC)CC(C)C,8.406,158.3090000000002,10,79.946770165178
CC(C)CCCCC[N+](C)(C)C,6.041,172.33600000000024,11,95.09616281328597
CC(C)CC[N+](C)(C)CC(C)C,7.562,172.33600000000024,11,109.20671786825557
CCC(C)C(C)(C)C[N+](C)(C)C,6.915,172.33600000000024,11,125.46396159818462
CCC(C)CC[N+](C)(CC)CC,7.427,172.33600000000024,11,100.6059378176129
CCC(C)C[N+](C)(C)CC(C)C,7.591,172.33600000000024,11,111.20671786825555
CCC(C)C[N+](CC)(CC)CC,8.073,172.33600000000024,11,92.34127531112252
CCCC(C)(C)C[N+](C)(C)CC,7.252,172.33600000000024,11,120.0
CCCC(C)CCC[N+](C)(C)C,6.208,172.33600000000024,11,97.09616281328599
CCCCC(C)(C)C[N+](C)(C)C,6.563,172.33600000000024,11,114.49022499567306
CCCCC(C)CC[N+](C)(C)C,6.358,172.33600000000024,11,97.09616281328599
CCCCCC(C)C[N+](C)(C)C,6.187,172.33600000000024,11,97.09616281328599
CCCCCCCC[N+](C)(C)C,6.009,172.33600000000024,11,86.70165766734146
CCCCCCC[N+](C)(C)CC,6.395,172.33600000000024,11,92.2114326716684
CCCCCC[N+](C)(C)CCC,6.967,172.33600000000024,11,92.2114326716684
CCCCCC[N+](C)(CC)CC,7.266,172.33600000000024,11,90.2114326716684
CCCCC[N+](C)(C)CCCC,7.261,172.33600000000024,11,92.2114326716684
CCCCC[N+](C)(CC)CCC,7.375,172.33600000000024,11,96.2114326716684
CCCCC[N+](CC)(CC)CC,7.521,172.33600000000024,11,81.946770165178
CCCC[N+](C)(C)CC(C)(C)C,7.649,172.33600000000024,7,114.49022499567306
CCCC[N+](C)(C)CC(C)CC,7.677,172.33600000000024,11,102.6059378176129
CCCC[N+](C)(C)CCC(C)C,7.549,172.33600000000024,11,100.6059378176129
CCCC[N+](C)(CC)CCCC,8.03,172.33600000000024,11,86.2114326716684
CCCC[N+](C)(CCC)CCC,7.833,172.33600000000024,11,88.21143267166842
CCCC[N+](CC)(CC)CCC,8.032,172.33600000000024,11,90.2114326716684
CCC[N+](C)(C)CCC(C)CC,7.186,172.33600000000024,11,102.60593781761291
CCC[N+](C)(C)CCCC(C)C,7.164,172.33600000000024,11,100.6059378176129
CCC[N+](C)(CC)CC(C)CC,7.801,172.33600000000024,11,106.6059378176129
CCC[N+](C)(CC)CCC(C)C,7.641,172.33600000000024,11,104.60593781761291
CCC[N+](CC)(CCC)CCC,7.724,172.33600000000024,11,77.19188266301452
CC[N+](C)(CC(C)C)CC(C)C,8.203,172.3360000000002,11,101.20671786825557
CC[N+](C)(CC)CCCC(C)C,7.117,172.3360000000002,11,98.60593781761291
CC[N+](CC)(CC)CC(C)(C)C,8.141,172.3360000000002,7,104.22556248918266
CC[N+](CC)(CC)CCC(C)C,7.694,172.3360000000002,11,90.3412753111225
CC(C)(C)C[N+](C)(C)CC(C)(C)C,7.672,186.36300000000026,4,131.85757378684062
CC(C)CCC[N+](C)(C)CC(C)C,7.16,186.36300000000026,12,120.0
CC(C)CC[N+](C)(C)CCC(C)C,7.58,186.36300000000026,12,106.0
CCC(C)(C)C[N+](CC)(CC)CC,7.733,186.36300000000026,12,120.70907409602115
CCC(C)CC[N+](CC)(CC)CC,7.493,186.36300000000026,12,102.94205536176514
CCC(C)C[N+](C)(C)CC(C)(C)C,7.478,186.36300000000026,8,136.6075250475963
CCC(C)C[N+](C)(C)CC(C)CC,7.654,186.36300000000026,12,110.0
CCCCC(C)CC[N+](C)(C)CC,6.449,186.36300000000026,12,113.20671786825557
CCCCCCCCC[N+](C)(C)C,5.721,186.36300000000026,12,97.09616281328599
CCCCCCCC[N+](C)(C)CC,5.949,186.36300000000026,12,102.60593781761291
CCCCCCC[N+](C)(C)CCC,6.433,186.36300000000026,12,102.60593781761291
CCCCCCC[N+](C)(CC)CC,6.69,186.36300000000026,12,100.6059378176129
CCCCCC[N+](C)(C)CC(C)C,6.868,186.36300000000026,12,111.20671786825555
CCCCCC[N+](C)(C)CCCC,6.82,186.36300000000026,12,102.6059378176129
CCCCCC[N+](C)(CC)CCC,6.877,186.36300000000026,12,106.6059378176129
CCCCCC[N+](CC)(CC)CC,7.038,186.36300000000026,12,92.34127531112252
CCCCC[N+](C)(C)CCC(C)C,7.308,186.36300000000026,12,111.20671786825555
CCCCC[N+](C)(C)CCCCC,7.358,186.36300000000026,12,90.60593781761291
CCCCC[N+](C)(CC)CCCC,7.458,186.36300000000026,12,106.6059378176129
CCCCC[N+](C)(CCC)CCC,7.477,186.36300000000026,12,98.60593781761291
CCCCC[N+](CC)(CC)CCC,7.616,186.36300000000026,12,100.6059378176129
CCCC[N+](C)(C)CCCC(C)C,7.135,186.36300000000026,12,111.20671786825555
CCCC[N+](C)(CCC)CC(C)C,8.025,186.36300000000026,12,115.20671786825555
CCCC[N+](C)(CCC)CCCC,7.852,186.36300000000026,12,96.60593781761291
CCCC[N+](CC)(CC)CCCC,7.999,186.36300000000026,12,90.60593781761291
CCCC[N+](CC)(CCC)CCC,8.225,186.36300000000026,12,98.60593781761291
CCC[N+](C)(C)CCCCC(C)C,6.727,186.36300000000026,12,111.20671786825555
CCC[N+](C)(CCC)CC(C)CC,7.841,186.36300000000026,12,109.20671786825557
CCC[N+](CC)(CC)CCC(C)C,7.819,186.36300000000026,12,109.20671786825557
CCC[N+](CC)(CCC)CC(C)C,8.364,186.36300000000026,12,107.20671786825557
CCC[N+](CCC)(CCC)CCC,8.383,186.36300000000026,12,75.09616281328597
CC[N+](CC)(CC(C)C)CC(C)C,8.344,186.36300000000023,12,106.0
CC[N+](CC)(CC)CCCC(C)C,7.208,186.36300000000023,12,100.94205536176516
CC(C)CCC[N+](C)(C)CCC(C)C,7.044,200.39000000000027,13,130.97373660251156
CC(C)C[N+](C)(CC(C)C)CC(C)C,7.877,200.39000000000027,13,115.58797503894242
CCCCC(C)C[N+](C)(CC)CCC,7.016,200.39000000000027,13,128.0
CCCCC(C)C[N+](CC)(CC)CC,7.025,200.39000000000027,13,113.7353374935096
CCCCCCCCCC[N+](C)(C)C,5.622,200.39000000000024,13,107.69694286392864
CCCCCCCCC[N+](C)(C)CC,6.105,200.39000000000027,13,113.20671786825557
CCCCCCCC[N+](C)(C)CCC,6.383,200.39000000000027,13,113.20671786825557
CCCCCCCC[N+](C)(CC)CC,6.458,200.39000000000027,13,111.20671786825555
CCCCCCC[N+](C)(C)CCCC,6.496,200.39000000000027,13,113.20671786825557
CCCCCCC[N+](CC)(CC)CC,6.763,200.39000000000027,13,102.94205536176514
CCCCCC[N+](C)(C)CCC(C)C,6.884,200.39000000000027,13,122.0
CCCCCC[N+](C)(C)CCCCC,6.894,200.39000000000027,13,113.20671786825557
CCCCCC[N+](C)(CC)CCCC,7.013,200.39000000000027,13,117.20671786825557
CCCCCC[N+](C)(CCC)CCC,7.027,200.39000000000027,13,109.20671786825557
CCCCCC[N+](CC)(CC)CCC,7.096,200.39000000000027,13,111.20671786825555
CCCCC[N+](C)(C)CCCC(C)C,7.191,200.39000000000027,13,122.0
CCCCC[N+](C)(CC)CCCCC,7.569,200.39000000000027,13,105.20671786825558
CCCCC[N+](C)(CCC)CCCC,7.643,200.39000000000027,13,117.20671786825557
CCCCC[N+](CC)(CC)CCCC,7.596,200.39000000000027,13,111.20671786825557
CCCCC[N+](CC)(CCC)CCC,7.587,200.39000000000027,13,109.20671786825557
CCCC[N+](C)(C)CCCCC(C)C,6.615,200.39000000000027,13,122.0
CCCC[N+](C)(CCC)CC(C)(C)C,7.893,200.39000000000027,9,140.60752504759628
CCCC[N+](C)(CCCC)CCCC,7.747,200.39000000000027,13,93.43228035743822
CCCC[N+](CC)(CCC)CCCC,8.069,200.39000000000027,13,107.20671786825557
CCCC[N+](CCC)(CCC)CCC,7.927,200.39000000000027,13,98.18716785960169
CCC[N+](CCC)(CCC)CC(C)C,8.155,200.39000000000027,13,106.98044999134612
CC[N+](C)(CC(C)(C)C)CC(C)(C)C,7.954,200.39000000000024,5,147.45778174805406
CC[N+](CC)(CC)CCCCC(C)C,6.987,200.39000000000024,13,111.7353374935096
